X03103;N03100;E03102;Q03101;N03056;P03053;G03052;T03130;T03131;T03020;T03017;T03016;T03014;P03010;P03011;P03012;P03013;G03024;G03022;L03026;T03036;T03037;P03030;P03031;P03032;G03042;P03033;P03064;P03065;G03072;G03070;G03071;P03066;T03050;T03051;T03057;T03060;T03081;T03082;T03083;T03084;T03085;T03086;P03000;P03001;G03003;T03004;T03002;P03007;C01901;N03160;C03161;C03165;C03160;C03168;C03166;V03120;G03022;T03121;V03171;V03173;Z03172;Z03170;I03180;F03180;C03170;C03171;V06002;F06004;I06003;Z06003;C03184;C03185;T06018;E06018;V06006;V06007;D06006;E06007;I06007;D06007;I06008;K06008;I06006;E06000
%;rpm;kW;%;krpm;bar;kg/h;degC;degC;degC;degC;degC;degC;bar;bar;bar;bar;ton/h;ton/h;%;degC;degC;bar;bar;bar;ton/h;bar;bar;bar;kg/h;kg/h;kg/h;bar;degC;degC;degC;degC;degC;degC;degC;degC;degC;degC;bar;bar;ton/h;degC;degC;bar;rpm;rpm;%/%;sec;Hz;%/%;%/sec;%;ton/h;degC;V;V;V;%;A;Gauss;V;%/V;V;Hz;A;<-1;V;V;degC;kW;V;V;deg;kW;A;deg;A;<0-1>;A;kW
41.4886;900.4360;407.9740;55.8610;13.8481;0.9500;2073.0700;58.8455;58.8607;82.7378;76.2142;82.9971;35.5906;1.9657;2.5715;1.8589;0.4000;30.7345;4.7498;50.0250;56.9060;49.4688;4.6617;4.0790;3.1230;19.9689;0.9560;9.9675;9.4926;89.2309;323.4540;234.2240;0.4749;75.3671;51.0264;351.6370;314.3110;327.2740;331.5490;333.2260;333.4320;334.9400;334.4480;2.7967;2.1825;57.8779;25.8439;20.0000;0.1858;911.5970;900.4320;23.6000;1.4823;1.7928;0.3000;0.3000;84.5456;4.7498;2.0492;441.1000;440.2040;440.1940;45.4188;20.1783;7633.1400;4.9984;2.5003;440.1940;60.0288;617.6410;0.8172;426.3600;455.8400;43.9129;3.3541;560.0440;175.5190;14.8405;1502.6000;2506.6600;38.1673;1970.7600;0.9000;1239.2600;384.8060
40.7138;900.6150;399.6350;54.7839;13.8585;0.9505;2073.9200;58.8508;58.8661;82.1095;76.6414;82.3631;30.9609;1.9674;2.5738;1.8605;0.4000;30.5932;2.3228;50.0250;56.9307;49.4807;4.6626;4.0799;3.1236;19.9736;0.9562;9.9676;9.4927;88.2653;323.5270;235.2540;0.4747;75.4985;50.3403;351.1440;313.8360;328.2120;332.4860;334.1630;334.3840;335.8670;335.3770;2.7969;2.1826;57.8803;24.5943;20.0000;0.1859;911.5440;900.6050;23.6000;1.4823;1.7928;0.3000;0.3000;92.4074;2.3228;2.7053;441.1000;440.1960;440.2110;44.7682;20.0558;7592.0600;4.9984;2.5003;440.2010;60.0418;603.0570;0.8161;426.3600;455.8400;44.0982;3.2278;557.3590;171.5820;14.5779;1495.3400;2498.9100;38.3054;1960.9400;0.9000;1239.2600;375.2340
40.1418;900.5560;391.3580;54.0073;13.5425;0.9271;2045.2600;58.8351;58.8514;82.5879;78.1628;82.9362;28.9525;1.9676;2.5740;1.8607;0.4000;30.5848;2.5202;50.0234;56.9336;49.4790;4.6626;4.0796;3.1235;19.9746;0.9561;9.9679;9.4932;86.5412;323.5270;236.9610;0.4744;74.3133;50.3765;346.7920;310.6540;326.8150;331.0700;332.7380;332.9480;334.4330;333.9340;2.7968;2.1826;57.8830;24.0504;20.0000;0.1859;911.3560;900.5570;23.6000;1.4823;1.7928;0.3000;0.3000;91.7601;2.5202;2.6421;441.1000;440.1870;440.1570;44.6452;20.0365;7585.9400;4.9984;2.5003;440.1570;60.0386;595.9610;0.8102;426.3600;455.8400;44.1463;3.1232;556.6230;169.3810;14.2957;1493.1000;2496.9700;38.3341;1958.4600;0.9000;1239.2600;368.1150
40.0921;900.4970;390.1500;53.9383;13.4267;0.9186;2034.8100;58.8241;58.8397;82.9026;77.4477;83.2458;32.9198;1.9664;2.5724;1.8596;0.4000;30.6896;4.1989;50.0234;56.9176;49.4683;4.6621;4.0796;3.1233;19.9746;0.9561;9.9679;9.4942;86.2259;323.4990;237.2560;0.4741;73.9783;50.8920;345.6910;309.9540;325.3120;329.5410;331.2260;331.3960;332.9160;332.3810;2.7968;2.1826;57.8830;25.1785;20.0000;0.1859;911.3110;900.4990;23.6000;1.4823;1.7928;0.3000;0.3000;86.3181;4.1989;2.1904;441.1000;440.1870;440.1570;44.6289;20.0332;7584.4900;4.9984;2.5003;440.1570;60.0351;595.0960;0.8099;426.3600;455.8400;44.1799;3.1135;556.4890;169.1220;14.2515;1492.8700;2496.7300;38.3403;1958.2300;0.9000;1239.2600;367.4400
40.3840;900.3700;390.8570;54.3158;13.4008;0.9167;2032.4400;58.8199;58.8320;82.4028;76.5285;82.7073;33.3696;1.9663;2.5723;1.8595;0.4000;30.6586;3.4970;50.0234;56.9013;49.4642;4.6615;4.0791;3.1230;19.9701;0.9559;9.9679;9.4942;86.2718;323.4600;237.1880;0.4738;74.0295;51.2594;345.7530;310.0620;324.2070;328.4120;330.1460;330.2390;331.8030;331.2430;2.7966;2.1826;57.8831;25.3097;20.0000;0.1859;911.2510;900.3970;23.6000;1.4823;1.7928;0.3000;0.3000;88.5938;3.4970;2.3872;441.1000;440.1870;440.1340;45.0664;20.1004;7607.0300;4.9984;2.5003;440.1340;60.0246;601.2750;0.8088;426.3600;455.8400;44.2277;3.1393;557.8130;170.6460;14.2706;1496.4700;2500.5000;38.2739;1963.0400;0.9000;1239.2600;370.7130
40.9295;900.3700;399.6410;55.0882;13.5470;0.9277;2045.8100;58.8244;58.8364;82.2942;77.3664;82.5989;29.8547;1.9672;2.5734;1.8602;0.4000;30.5719;2.2574;50.0233;56.8981;49.4642;4.6612;4.0786;3.1227;19.9682;0.9559;9.9679;9.4942;87.7157;323.4390;235.7360;0.4736;74.7800;51.5239;348.0690;311.8140;324.2460;328.4400;330.2140;330.2700;331.8400;331.2880;2.7964;2.1824;57.8821;24.3221;20.0000;0.1859;911.3800;900.3760;23.6000;1.4823;1.7928;0.3000;0.3000;92.6161;2.2574;2.7185;441.1000;440.1880;440.1870;45.1726;20.1310;7617.4200;4.9984;2.5003;440.1870;60.0239;609.0480;0.8136;426.3600;455.8400;44.3463;3.2602;558.8300;173.0610;14.5750;1499.4700;2503.5000;38.2262;1966.7000;0.9000;1239.2600;377.7890
41.0409;900.3910;400.7210;55.2196;13.6569;0.9358;2055.7100;58.8283;58.8438;82.7893;77.7238;83.0937;31.2116;1.9668;2.5730;1.8600;0.4000;30.6394;3.4658;50.0235;56.8987;49.4651;4.6616;4.0786;3.1229;19.9686;0.9560;9.9679;9.4942;87.9543;323.4710;235.5210;0.4734;75.3306;51.5114;349.3700;312.7280;325.1960;329.3770;331.1800;331.2120;332.7940;332.2350;2.7966;2.1824;57.8793;24.6999;20.0000;0.1859;911.3800;900.3760;23.6000;1.4823;1.7928;0.3000;0.3000;88.6886;3.4658;2.3867;441.1000;440.1870;440.1560;45.3107;20.1508;7623.9200;4.9984;2.5003;440.1870;60.0262;611.0740;0.8134;426.3600;455.8400;44.4994;3.2738;559.0520;173.4160;14.5985;1499.8300;2503.9100;38.2135;1967.3500;0.9000;1239.2600;378.9440
41.2036;900.4400;404.8010;55.4595;13.7411;0.9421;2063.3900;58.8362;58.8520;82.7297;76.7749;82.9894;33.8561;1.9662;2.5720;1.8594;0.4000;30.6916;4.1620;50.0234;56.9065;49.4690;4.6616;4.0786;3.1228;19.9686;0.9560;9.9679;9.4951;88.6705;323.4690;234.8120;0.4733;75.7661;51.2651;350.3750;313.4310;326.0450;330.2120;332.0360;332.0480;333.6470;333.0580;2.7966;2.1824;57.8785;25.4271;20.0000;0.1859;911.5030;900.3760;23.6000;1.4823;1.7928;0.3000;0.3000;86.4393;4.1620;2.2042;441.1000;440.1940;440.2050;45.1651;20.1340;7618.3000;4.9984;2.5003;440.2060;60.0274;612.2960;0.8167;426.3600;455.8400;44.6516;3.3128;559.1450;174.1970;14.7491;1500.2600;2504.2300;38.2132;1967.6000;0.9000;1239.2600;381.2670
40.8855;900.4680;400.1740;55.0180;13.6990;0.9388;2059.5100;58.8362;58.8520;82.3410;76.8122;82.5976;31.8227;1.9669;2.5729;1.8600;0.4000;30.6213;2.9169;50.0234;56.9170;49.4728;4.6619;4.0791;3.1231;19.9708;0.9560;9.9679;9.4951;87.9618;323.4980;235.5370;0.4732;75.6421;50.8566;349.4380;312.6810;326.5210;330.6770;332.4860;332.5010;334.1160;333.4990;2.7967;2.1824;57.8793;24.8591;20.0000;0.1859;911.4950;900.4520;23.6000;1.4823;1.7928;0.3000;0.3000;90.4754;2.9169;2.5424;441.1000;440.2010;440.1570;45.1278;20.1120;7610.9400;4.9984;2.5003;440.1520;60.0340;607.6140;0.8144;426.3600;455.8400;44.7665;3.2385;558.2850;172.6410;14.5859;1497.6900;2501.6100;38.2526;1964.4800;0.9000;1239.2600;377.2700
40.7222;900.4710;398.2370;54.8012;13.6323;0.9339;2053.4700;58.8362;58.8520;82.4997;77.6434;82.7910;29.9884;1.9672;2.5735;1.8604;0.4000;30.5948;2.6445;50.0234;56.9180;49.4732;4.6620;4.0791;3.1231;19.9710;0.9561;9.9679;9.4951;87.5959;323.5000;235.9040;0.4732;75.4409;50.8318;348.4950;311.9860;326.3210;330.4330;332.2400;332.2750;333.8810;333.2780;2.7967;2.1824;57.8794;24.3457;20.0000;0.1859;911.4340;900.4600;23.6000;1.4823;1.7928;0.3000;0.3000;91.3564;2.6445;2.6110;441.1000;440.2020;440.1650;44.9738;20.0956;7605.4300;4.9984;2.5003;440.1850;60.0347;605.1040;0.8134;426.3600;455.8400;44.8702;3.2197;558.0500;171.9710;14.5214;1497.1200;2500.9800;38.2658;1963.6200;0.9000;1239.2600;375.2390
40.7384;900.4310;396.8230;54.8076;13.5943;0.9311;2049.9900;58.8357;58.8515;82.7735;77.3827;83.0640;32.2738;1.9666;2.5726;1.8597;0.4000;30.6631;3.7683;50.0234;56.9180;49.4726;4.6620;4.0790;3.1230;19.9710;0.9560;9.9687;9.4951;87.3913;323.4900;236.0990;0.4732;75.3602;50.9951;348.0920;311.7140;325.9540;330.0390;331.8390;331.9040;333.5010;332.8920;2.7967;2.1824;57.8794;24.9933;20.0000;0.1859;911.4340;900.4600;23.6000;1.4823;1.7928;0.3000;0.3000;87.7106;3.7683;2.3071;441.1000;440.1870;440.1620;45.0437;20.1037;7608.1400;4.9984;2.5003;440.1650;60.0310;605.3620;0.8128;426.3600;455.8400;44.9483;3.2065;558.0870;171.9350;14.4764;1497.2200;2501.1600;38.2624;1963.8700;0.9000;1239.2600;375.1450
41.1743;900.4310;402.2690;55.4108;13.6617;0.9362;2056.1500;58.8442;58.8562;82.5393;76.7286;82.7939;33.1098;1.9663;2.5723;1.8595;0.4000;30.6600;3.6137;50.0234;56.9180;49.4726;4.6616;4.0790;3.1228;19.9705;0.9559;9.9687;9.4951;88.2394;323.4900;235.2300;0.4732;75.7376;51.0640;349.2030;312.5590;325.9410;330.0080;331.7830;331.8640;333.4690;332.8670;2.7966;2.1824;57.8794;25.2302;20.0000;0.1859;911.4410;900.4210;23.6000;1.4823;1.7928;0.3000;0.3000;88.2137;3.6137;2.3533;441.1000;440.1920;440.1660;45.3011;20.1522;7624.4100;4.9984;2.5003;440.1690;60.0271;612.6310;0.8150;426.3600;455.8400;45.0605;3.2815;559.3250;174.0570;14.6685;1500.6700;2504.7700;38.2012;1968.3500;0.9000;1239.2600;380.6450
41.3368;900.3810;406.1640;55.6446;13.7596;0.9435;2065.0800;58.8559;58.8689;82.4071;77.0266;82.6487;31.3582;1.9668;2.5730;1.8600;0.4000;30.6122;2.8608;50.0234;56.9271;49.4727;4.6616;4.0790;3.1228;19.9705;0.9559;9.9687;9.4951;88.8804;323.4720;234.5970;0.4734;76.2075;50.9750;350.4830;313.4810;326.4580;330.5220;332.2890;332.3850;333.9920;333.4110;2.7966;2.1824;57.8794;24.7433;20.0000;0.1859;911.5040;900.4210;23.6000;1.4823;1.7928;0.3000;0.3000;90.6548;2.8608;2.5557;441.1000;440.1920;440.1930;45.2849;20.1568;7625.9500;4.9984;2.5003;440.1930;60.0289;614.8960;0.8167;426.3600;455.8400;45.1952;3.3335;559.5850;174.7850;14.7880;1501.4200;2505.4300;38.1911;1969.1500;0.9000;1239.2600;382.9040
43.1898;900.1580;424.4870;58.1845;13.9458;0.9576;2082.0700;58.8863;58.9016;82.6912;77.4182;82.9280;31.3482;1.9661;2.5721;1.8593;0.4000;30.6186;3.2796;50.0234;56.9420;49.4771;4.6597;4.0772;3.1216;19.9612;0.9557;9.9681;9.4951;91.7882;323.3640;231.5760;0.4734;77.0946;50.9009;353.1450;315.4290;327.3650;331.4360;333.2080;333.3190;334.9300;334.3260;2.7958;2.1822;57.8782;24.7412;20.0000;0.1858;911.7710;900.1750;23.6000;1.4823;1.7928;0.3000;0.3000;89.2890;3.2796;2.4382;441.1000;440.2230;440.6330;46.4627;20.4477;7723.1200;4.9984;2.5003;440.6350;60.0106;649.2530;0.8186;426.3600;455.8400;45.4633;3.7808;569.7790;186.3050;15.3190;1530.6100;2535.4300;37.7117;2005.7800;0.9000;1239.2600;405.6080
45.5815;899.9490;448.3850;61.4069;14.3740;0.9897;2120.9300;58.9431;58.9588;82.8570;76.8273;83.0150;33.6530;1.9651;2.5706;1.8584;0.4000;30.6688;4.2014;50.0234;56.9848;49.4897;4.6582;4.0760;3.1204;19.9573;0.9554;9.9668;9.4935;95.6974;323.2770;227.5790;0.4735;78.9967;50.5283;358.7360;319.4150;329.7670;333.8550;335.6720;335.8000;337.4170;336.7670;2.7952;2.1820;57.8749;25.3815;20.0000;0.1858;912.2110;899.9410;23.6000;1.4823;1.7928;0.3000;0.3000;86.3007;4.2014;2.1906;441.1000;440.2560;440.5160;48.0289;20.6457;7788.9500;4.9984;2.5003;440.4920;59.9966;683.8070;0.8337;426.3600;455.8400;45.8617;4.1824;571.1710;194.2750;16.1558;1534.4600;2539.6800;37.6417;2011.0400;0.9000;1239.2600;434.9730
43.2762;900.6290;434.3320;58.3071;14.6987;1.0131;2150.2400;58.9925;59.0085;82.6753;76.2770;82.7560;34.3136;1.9664;2.5724;1.8596;0.4000;30.6994;4.1331;50.0234;57.0586;49.5157;4.6621;4.0792;3.1234;19.9774;0.9562;9.9668;9.4931;94.2618;323.5350;229.2980;0.4740;80.3169;49.2757;361.6600;321.2410;333.5840;337.7320;339.5720;339.7210;341.3210;340.6500;2.7972;2.1826;57.8716;25.5662;20.0000;0.1858;912.2450;900.5660;23.6000;1.4823;1.7928;0.3000;0.3000;86.5370;4.1331;2.2134;441.1000;440.2470;440.2100;46.4656;20.3679;7696.5100;4.9984;2.5003;440.2070;60.0405;646.9070;0.8251;426.3600;455.8400;46.2365;3.6970;564.9510;184.0750;15.7067;1515.4300;2519.7100;37.9246;1987.6000;0.9000;1239.2600;406.9710
43.1675;900.4930;427.3000;58.1340;14.4069;0.9914;2123.6200;59.0206;59.0366;82.3824;76.7140;82.5173;31.7769;1.9670;2.5732;1.8601;0.4000;30.6197;2.9029;50.0234;57.1056;49.5323;4.6615;4.0790;3.1230;19.9788;0.9559;9.9668;9.4932;92.6096;323.5140;230.8960;0.4741;79.0273;48.2016;356.9550;317.7100;334.2730;338.4640;340.2590;340.4750;342.0300;341.3470;2.7969;2.1826;57.8798;24.8749;20.0000;0.1859;912.1150;900.4970;23.6000;1.4823;1.7928;0.3000;0.3000;90.5196;2.9029;2.5453;441.1000;440.2470;440.2380;46.4149;20.3534;7691.6700;4.9984;2.5003;440.2220;60.0310;644.2520;0.8248;426.3600;455.8400;46.4179;3.6434;564.3690;182.9940;15.4683;1514.2900;2518.6300;37.9563;1985.8900;0.9000;1239.2600;405.1890
43.3297;900.4330;431.0170;58.3898;14.3670;0.9886;2120.1300;59.0603;59.0763;82.6770;77.3503;82.8426;31.1953;1.9669;2.5732;1.8601;0.4000;30.6257;3.1927;50.0205;57.1422;49.5323;4.6611;4.0785;3.1226;19.9806;0.9559;9.9668;9.4932;93.0699;323.4980;230.4160;0.4742;78.9298;48.2560;356.6070;317.4940;333.6970;337.8940;339.6470;339.9160;341.4460;340.7520;2.7966;2.1826;57.8798;24.7325;20.0000;0.1859;912.1150;900.4380;23.6000;1.4823;1.7928;0.3000;0.3000;89.5750;3.1927;2.4618;441.1000;440.2470;440.2380;46.4605;20.3632;7694.8600;4.9984;2.5003;440.2220;60.0310;646.8280;0.8264;426.3600;455.8400;46.5880;3.6780;564.5620;183.8140;15.6032;1514.8600;2519.2400;37.9476;1986.7000;0.9000;1239.2600;407.5860
43.7215;900.3680;434.1770;58.9087;14.4270;0.9931;2125.5600;59.1087;59.1248;82.8553;76.7791;82.9953;33.8887;1.9662;2.5720;1.8594;0.4000;30.6956;4.2898;50.0205;57.1781;49.5323;4.6611;4.0785;3.1226;19.9806;0.9558;9.9668;9.4932;93.5908;323.4980;229.8800;0.4743;79.2563;48.3296;357.4970;318.1490;333.6050;337.8280;339.5740;339.8290;341.3510;340.6980;2.7966;2.1826;57.8798;25.5056;20.0000;0.1859;912.1250;900.3890;23.6000;1.4823;1.7928;0.3000;0.3000;86.0248;4.2898;2.1678;441.1000;440.2470;440.1960;46.8897;20.4343;7718.6500;4.9984;2.5003;440.1980;60.0265;654.3390;0.8260;426.3600;455.8400;46.7824;3.7354;566.2240;185.9340;15.6975;1519.3100;2523.9900;37.8625;1992.6500;0.9000;1239.2600;412.1040
42.9112;900.7100;434.6220;57.8918;14.5608;1.0029;2137.9400;59.1613;59.1774;82.5787;76.3599;82.6779;33.7502;1.9668;2.5729;1.8599;0.4000;30.6795;3.7569;50.0205;57.2189;49.5446;4.6617;4.0793;3.1230;19.9889;0.9563;9.9678;9.4932;94.0850;323.5680;229.4830;0.4747;79.8790;48.1589;359.1550;319.3120;334.2150;338.4900;340.2370;340.4900;341.9790;341.3270;2.7972;2.1824;57.8783;25.4877;20.0000;0.1859;912.2330;900.6600;23.6000;1.4823;1.7928;0.3000;0.3000;87.7538;3.7569;2.3151;441.1000;440.2100;439.9260;46.7351;20.3630;7694.8900;4.9984;2.5003;439.9040;60.0506;643.5260;0.8224;426.3600;455.8400;47.0098;3.6212;564.3910;182.9310;15.7464;1512.8000;2517.3000;37.9340;1985.4500;0.9000;1239.2600;403.2550
42.6770;900.5570;423.5340;57.4917;14.3211;0.9850;2115.8800;59.1805;59.1964;82.4392;76.8708;82.5858;31.7043;1.9671;2.5733;1.8601;0.4000;30.6230;2.9546;50.0205;57.2424;49.5518;4.6616;4.0790;3.1228;19.9889;0.9559;9.9678;9.4932;92.0053;323.5300;231.5110;0.4747;78.8471;47.8902;355.6210;316.7160;333.8450;338.1110;339.8600;340.0940;341.5790;340.9310;2.7969;2.1826;57.8830;24.9308;20.0000;0.1859;912.0590;900.5600;23.6000;1.4823;1.7928;0.3000;0.3000;90.3516;2.9546;2.5303;441.1000;440.2100;440.1960;46.4121;20.3550;7692.2100;4.9984;2.5003;440.1880;60.0386;639.6200;0.8192;426.3600;455.8400;47.0876;3.5989;564.4730;181.8000;15.3128;1514.2400;2518.6500;37.9467;1986.0700;0.9000;1239.2600;399.5140
42.6210;900.4950;422.4930;57.4198;14.1944;0.9757;2104.4500;59.2005;59.2164;82.6728;77.2853;82.8543;31.6365;1.9669;2.5732;1.8601;0.4000;30.6364;3.3141;50.0205;57.2505;49.5505;4.6611;4.0786;3.1225;19.9889;0.9559;9.9678;9.4932;91.6650;323.4980;231.8140;0.4748;78.3756;48.2259;354.2510;315.7930;332.6620;336.8810;338.6260;338.8110;340.3150;339.6700;2.7969;2.1826;57.8827;24.9199;20.0000;0.1859;911.9990;900.4970;23.6000;1.4823;1.7928;0.3000;0.3000;89.1826;3.3141;2.4297;441.1000;440.2100;440.1960;46.3738;20.3474;7689.9000;4.9984;2.5003;440.1880;60.0347;638.5700;0.8192;426.3600;455.8400;47.1409;3.5850;564.2360;181.4830;15.2798;1513.7200;2518.2100;37.9574;1985.3400;0.9000;1239.2600;398.8350
42.8510;900.4250;423.5080;57.7248;14.1699;0.9739;2102.2400;59.2201;59.2359;82.7455;76.8301;82.9159;33.4761;1.9663;2.5722;1.8595;0.4000;30.6785;3.9862;50.0205;57.2541;49.5468;4.6606;4.0781;3.1223;19.9876;0.9558;9.9677;9.4932;91.7794;323.4660;231.6820;0.4749;78.3473;48.6240;354.2760;315.8790;331.8020;335.9750;337.7170;337.8750;339.3730;338.7170;2.7966;2.1826;57.8829;25.4366;20.0000;0.1859;911.9350;900.4320;23.6000;1.4823;1.7928;0.3000;0.3000;87.0070;3.9862;2.2503;441.1000;440.2100;440.2150;46.4638;20.3620;7694.5500;4.9984;2.5003;440.2160;60.0269;641.4980;0.8209;426.3600;455.8400;47.1941;3.6065;564.4970;182.2710;15.3258;1514.6700;2519.1300;37.9484;1986.5000;0.9000;1239.2600;401.5320
